=== Información de circuitos ejecutados ===
Circuito: e0_b0_t184.py | Registros clásicos: c1098 - c1103 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t186.py | Registros clásicos: c1104 - c1109 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t185.py | Registros clásicos: c1110 - c1115 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t183.py | Registros clásicos: c1116 - c1121 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t188.py | Registros clásicos: c1122 - c1127 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t190.py | Registros clásicos: c1128 - c1133 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t187.py | Registros clásicos: c1134 - c1139 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t192.py | Registros clásicos: c1140 - c1145 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t189.py | Registros clásicos: c1146 - c1151 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t191.py | Registros clásicos: c1152 - c1157 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t196.py | Registros clásicos: c1158 - c1163 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t194.py | Registros clásicos: c1164 - c1169 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t193.py | Registros clásicos: c1170 - c1175 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t195.py | Registros clásicos: c1176 - c1181 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t198.py | Registros clásicos: c1182 - c1187 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t197.py | Registros clásicos: c1188 - c1193 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t200.py | Registros clásicos: c1194 - c1199 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t199.py | Registros clásicos: c1200 - c1205 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t202.py | Registros clásicos: c1206 - c1211 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t204.py | Registros clásicos: c1212 - c1217 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t201.py | Registros clásicos: c1218 - c1223 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t206.py | Registros clásicos: c1224 - c1229 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t203.py | Registros clásicos: c1230 - c1235 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t205.py | Registros clásicos: c1236 - c1241 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t208.py | Registros clásicos: c1242 - c1247 | Iteración: 1 | Batch: 8
Circuito: e0_b0_t210.py | Registros clásicos: c1248 - c1253 | Iteración: 1 | Batch: 9
Circuito: e0_b0_t207.py | Registros clásicos: c1254 - c1259 | Iteración: 1 | Batch: 9
Circuito: e0_b0_t209.py | Registros clásicos: c1260 - c1265 | Iteración: 1 | Batch: 9
Circuito: e0_b0_t212.py | Registros clásicos: c1266 - c1271 | Iteración: 1 | Batch: 9
Circuito: e0_b0_t214.py | Registros clásicos: c1272 - c1277 | Iteración: 1 | Batch: 9
Circuito: e0_b0_t211.py | Registros clásicos: c1278 - c1283 | Iteración: 1 | Batch: 9
Circuito: e0_b0_t213.py | Registros clásicos: c1284 - c1289 | Iteración: 1 | Batch: 9
Circuito: e0_b0_t215.py | Registros clásicos: c1290 - c1295 | Iteración: 1 | Batch: 9
